state,start_colonies,end_colonies,colony_change,added_colonies,lost_colonies,renovated_colonies,colony_yield,production
AL,7000.0,8000.0,1000.0,4940.0,4670.0,1250.0,47.0,329.0
AZ,35000.0,36000.0,1000.0,30200.0,28100.0,40600.0,49.0,1274.0
AR,13000.0,23000.0,10000.0,15100.0,14800.0,5800.0,72.0,1728.0
CA,1440000.0,750000.0,-690000.0,499000.0,584000.0,577000.0,30.0,8250.0
CO,3500.0,24000.0,20500.0,11000.0,10400.0,5040.0,51.0,1479.0
FL,305000.0,220000.0,-85000.0,165000.0,150000.0,106000.0,54.0,11880.0
GA,104000.0,110000.0,6000.0,95900.0,68500.0,45900.0,40.0,2760.0
HI,10500.0,13000.0,2500.0,8400.0,3890.0,8220.0,102.0,1428.0
ID,81000.0,121000.0,40000.0,30100.0,46200.0,35500.0,32.0,2848.0
IL,6000.0,14000.0,8000.0,9600.0,7590.0,3020.0,51.0,408.0
IN,9000.0,11500.0,2500.0,6930.0,6100.0,4840.0,53.0,318.0
IA,12500.0,35000.0,22500.0,8880.0,11800.0,4080.0,50.0,1800.0
KS,4600.0,8500.0,3900.0,3400.0,6670.0,670.0,36.0,288.0
KY,7500.0,8500.0,1000.0,4040.0,7480.0,2060.0,46.0,230.0
LA,51000.0,55000.0,4000.0,13000.0,16700.0,18700.0,99.0,4356.0
ME,3100.0,4700.0,1600.0,4460.0,4090.0,860.0,47.0,470.0
MI,16500.0,67000.0,50500.0,24510.0,37000.0,13300.0,58.0,5220.0
MN,28000.0,104000.0,76000.0,21930.0,58200.0,23870.0,68.0,8296.0
MS,34000.0,31000.0,-3000.0,28260.0,24500.0,17840.0,83.0,1245.0
MO,12000.0,13500.0,1500.0,2850.0,4390.0,3380.0,52.0,520.0
MT,8500.0,116000.0,107500.0,19600.0,26900.0,44180.0,83.0,12118.0
NE,10000.0,72000.0,62000.0,16130.0,19700.0,16410.0,48.0,2736.0
NJ,6000.0,8000.0,2000.0,2880.0,3380.0,5010.0,27.0,324.0
NY,27000.0,45000.0,18000.0,16090.0,18100.0,9460.0,62.0,3596.0
NC,24000.0,22000.0,-2000.0,14510.0,13900.0,5160.0,45.0,540.0
ND,57000.0,230000.0,173000.0,54500.0,157620.0,92530.0,74.0,36260.0
OH,18000.0,19000.0,1000.0,17500.0,16900.0,10320.0,50.0,850.0
OR,77000.0,100000.0,23000.0,27000.0,29000.0,34300.0,38.0,2698.0
PA,14000.0,22000.0,8000.0,11960.0,12400.0,11500.0,53.0,901.0
SC,17000.0,10000.0,-7000.0,5320.0,7850.0,4980.0,67.0,938.0
SD,50000.0,194000.0,144000.0,40000.0,87600.0,38800.0,66.0,19140.0
TN,9500.0,8500.0,-1000.0,5170.0,5030.0,1880.0,59.0,413.0
TX,191000.0,125000.0,-66000.0,176500.0,100500.0,151800.0,66.0,8316.0
UT,6000.0,28000.0,22000.0,14020.0,16600.0,6490.0,42.0,1134.0
VT,5500.0,6500.0,1000.0,1820.0,1780.0,100.0,52.0,260.0
VA,8000.0,7500.0,-500.0,3420.0,4200.0,1460.0,38.0,228.0
WA,52000.0,87000.0,35000.0,30630.0,37000.0,42170.0,44.0,3212.0
WV,4700.0,7000.0,2300.0,3960.0,3280.0,1060.0,35.0,175.0
WI,16500.0,48000.0,31500.0,14610.0,28100.0,12310.0,67.0,3484.0
WY,5500.0,24000.0,18500.0,9800.0,9000.0,6840.0,77.0,2926.0
